features,model,accuracy,error
"('mfccs', 'chroma', 'spectral_contrast', 'rms_energy')",CNN,0.8715365529060364,
"('mfccs', 'chroma', 'spectral_contrast')",CNN,0.8664987683296204,
"('mfccs', 'chroma', 'spectral_contrast', 'zcr', 'rms_energy')",CNN,0.8589420914649963,
"('mfccs', 'spectral_contrast', 'rolloff', 'centroid')",CNN,0.8589420914649963,
"('mfccs', 'spectral_contrast', 'zcr', 'rolloff')",CNN,0.8589420914649963,
"('mfccs', 'spectral_contrast', 'rms_energy')",CNN,0.8564231991767883,
"('mfccs', 'chroma', 'spectral_contrast', 'zcr', 'centroid')",CNN,0.8564231991767883,
"('mfccs', 'spectral_contrast', 'zcr', 'centroid')",CNN,0.8564231991767883,
"('mfccs', 'spectral_contrast')",CNN,0.8564231991767883,
"('chroma', 'spectral_contrast', 'rms_energy')",Dense NN,0.8539043068885803,
"('mfccs', 'chroma', 'spectral_contrast', 'zcr', 'rolloff')",CNN,0.8539043068885803,
"('mfccs', 'spectral_contrast', 'rms_energy')",Dense NN,0.8539043068885803,
"('mfccs', 'spectral_contrast', 'zcr')",CNN,0.8539043068885803,
"('mfccs', 'chroma', 'spectral_contrast', 'zcr')",Dense NN,0.8539043068885803,
"('mfccs', 'chroma', 'spectral_contrast', 'centroid', 'rms_energy')",CNN,0.8513854146003723,
"('spectral_contrast', 'rms_energy')",Dense NN,0.8513854146003723,
"('mfccs', 'chroma', 'spectral_contrast', 'zcr')",CNN,0.8513854146003723,
"('mfccs', 'chroma', 'spectral_contrast', 'rolloff')",CNN,0.8513854146003723,
"('mfccs', 'spectral_contrast', 'centroid', 'rms_energy')",CNN,0.8513854146003723,
"('mfccs', 'chroma', 'zcr', 'centroid')",CNN,0.8488665223121643,
"('mfccs', 'spectral_contrast', 'zcr', 'rms_energy')",CNN,0.8488665223121643,
"('mfccs', 'chroma', 'spectral_contrast', 'zcr', 'rolloff', 'centroid')",CNN,0.8488665223121643,
"('chroma', 'spectral_contrast', 'zcr', 'rms_energy')",CNN,0.8488665223121643,
"('mfccs', 'chroma', 'spectral_contrast', 'zcr', 'centroid', 'rms_energy')",Dense NN,0.8463476300239563,
"('mfccs', 'spectral_contrast', 'zcr', 'rolloff', 'rms_energy')",CNN,0.8463476300239563,
"('chroma', 'spectral_contrast', 'rms_energy')",CNN,0.8438287377357483,
"('mfccs', 'spectral_contrast', 'rolloff')",CNN,0.8438287377357483,
"('chroma', 'spectral_contrast', 'zcr')",CNN,0.8438287377357483,
"('mfccs', 'spectral_contrast', 'zcr', 'centroid', 'rms_energy')",LSTM,0.8438287377357483,
"('chroma', 'spectral_contrast', 'zcr', 'centroid')",CNN,0.8438287377357483,
"('chroma', 'spectral_contrast')",CNN,0.8438287377357483,
"('mfccs', 'chroma', 'spectral_contrast', 'rms_energy')",Dense NN,0.8438287377357483,
