features,model,accuracy
"('mfccs', 'spectral_contrast', 'rms_energy')",Logistic Regression,0.8942065491183879
"('mfccs', 'spectral_contrast', 'zcr')",Logistic Regression,0.8942065491183879
"('mfccs', 'spectral_contrast')",Logistic Regression,0.8942065491183879
"('mfccs', 'spectral_contrast', 'zcr', 'rms_energy')",Logistic Regression,0.8942065491183879
"('mfccs', 'chroma', 'spectral_contrast', 'rms_energy')",Logistic Regression,0.8916876574307305
"('mfccs', 'chroma', 'spectral_contrast', 'zcr')",Logistic Regression,0.8916876574307305
"('mfccs', 'chroma', 'spectral_contrast', 'zcr', 'rms_energy')",Logistic Regression,0.8916876574307305
"('mfccs', 'chroma', 'spectral_contrast')",Logistic Regression,0.889168765743073
"('mfccs', 'spectral_contrast', 'centroid', 'rms_energy')",Logistic Regression,0.8866498740554156
"('mfccs', 'chroma', 'spectral_contrast', 'rolloff', 'rms_energy')",Logistic Regression,0.8841309823677582
"('mfccs', 'chroma', 'spectral_contrast', 'zcr', 'centroid')",Logistic Regression,0.8816120906801007
"('mfccs', 'spectral_contrast', 'zcr', 'rolloff', 'rms_energy')",Logistic Regression,0.8816120906801007
"('mfccs', 'spectral_contrast', 'centroid')",Logistic Regression,0.8816120906801007
"('mfccs', 'spectral_contrast', 'zcr', 'rolloff', 'centroid', 'rms_energy')",Logistic Regression,0.8816120906801007
"('mfccs', 'chroma', 'spectral_contrast', 'rolloff')",Logistic Regression,0.8816120906801007
"('mfccs', 'chroma', 'spectral_contrast', 'zcr', 'rolloff', 'centroid')",Logistic Regression,0.8790931989924433
"('mfccs', 'chroma', 'spectral_contrast', 'rolloff', 'rms_energy')",Random Forest,0.8790931989924433
"('mfccs', 'chroma', 'spectral_contrast', 'centroid', 'rms_energy')",Logistic Regression,0.8790931989924433
"('mfccs', 'chroma', 'spectral_contrast', 'zcr', 'rolloff', 'centroid', 'rms_energy')",Logistic Regression,0.8790931989924433
"('mfccs', 'chroma', 'spectral_contrast', 'zcr', 'centroid', 'rms_energy')",Logistic Regression,0.8790931989924433
"('mfccs', 'chroma', 'spectral_contrast', 'zcr', 'rolloff', 'rms_energy')",Random Forest,0.8790931989924433
"('mfccs', 'spectral_contrast', 'zcr')",Random Forest,0.8790931989924433
"('mfccs', 'spectral_contrast', 'rolloff', 'rms_energy')",Logistic Regression,0.8790931989924433
"('mfccs', 'spectral_contrast', 'zcr', 'centroid')",Logistic Regression,0.8790931989924433
"('mfccs', 'spectral_contrast', 'zcr', 'rolloff')",Logistic Regression,0.8790931989924433
"('mfccs', 'spectral_contrast', 'zcr', 'rolloff')",Random Forest,0.8790931989924433
"('mfccs', 'chroma', 'spectral_contrast', 'centroid')",Logistic Regression,0.8790931989924433
"('mfccs', 'spectral_contrast', 'zcr', 'rolloff', 'centroid')",Logistic Regression,0.8790931989924433
"('mfccs', 'chroma', 'spectral_contrast', 'zcr', 'rolloff')",Logistic Regression,0.8765743073047859
"('mfccs', 'chroma', 'spectral_contrast', 'rolloff', 'centroid')",Logistic Regression,0.8765743073047859
"('mfccs', 'spectral_contrast', 'rolloff')",Logistic Regression,0.8765743073047859
"('mfccs', 'chroma', 'spectral_contrast', 'zcr', 'rolloff', 'rms_energy')",Logistic Regression,0.8765743073047859
"('mfccs', 'chroma', 'spectral_contrast', 'rolloff', 'centroid', 'rms_energy')",Logistic Regression,0.8740554156171285
"('mfccs', 'chroma', 'spectral_contrast', 'centroid')",Random Forest,0.8740554156171285
"('mfccs', 'spectral_contrast', 'rolloff', 'centroid', 'rms_energy')",Logistic Regression,0.8740554156171285
"('mfccs', 'spectral_contrast', 'zcr', 'rolloff', 'centroid', 'rms_energy')",Random Forest,0.8740554156171285
"('mfccs', 'chroma', 'spectral_contrast', 'rolloff')",Random Forest,0.8740554156171285
"('mfccs', 'spectral_contrast', 'rolloff', 'rms_energy')",Random Forest,0.8740554156171285
"('mfccs', 'spectral_contrast', 'zcr', 'centroid', 'rms_energy')",Logistic Regression,0.8740554156171285
"('mfccs', 'chroma', 'spectral_contrast')",Random Forest,0.8740554156171285
"('chroma', 'spectral_contrast', 'zcr', 'rms_energy')",Random Forest,0.8740554156171285
"('mfccs', 'spectral_contrast', 'rms_energy')",Random Forest,0.8740554156171285
